region,country
Southern Africa,Lesotho
Southern Africa,Madagascar
Southern Africa,Malawi
Southern Africa,Mozambique
Southern Africa,Namibia
Southern Africa,South Africa
Southern Africa,Swaziland
Southern Africa,Zambia
Southern Africa,Zimbabwe
Southern Asia,Afghanistan
Southern Asia,Bangladesh
Southern Asia,India
Southern Asia,Nepal
Southern Asia,Pakistan
Southern Asia,Sri Lanka
Southern Europe,Albania
Southern Europe,Bosnia and Herzegovina
Southern Europe,Croatia
Southern Europe,Greece
Southern Europe,Italy
Southern Europe,Malta
Southern Europe,Montenegro
Southern Europe,North Macedonia
Southern Europe,Portugal
Southern Europe,Serbia
Southern Europe,Slovenia
Southern Europe,Spain
Subsaharan Africa,Angola
Subsaharan Africa,Benin
Subsaharan Africa,Botswana
Subsaharan Africa,Burundi
Subsaharan Africa,Côte d’Ivoire
Subsaharan Africa,Democratic Republic of the Congo
Subsaharan Africa,Djibouti
Subsaharan Africa,Eritrea
Subsaharan Africa,Ethiopia
Subsaharan Africa,Ghana
Subsaharan Africa,Guinea
Subsaharan Africa,Kenya
Subsaharan Africa,Lesotho
Subsaharan Africa,Liberia
Subsaharan Africa,Madagascar
Subsaharan Africa,Malawi
Subsaharan Africa,Mali
Subsaharan Africa,Mozambique
Subsaharan Africa,Namibia
Subsaharan Africa,Niger
Subsaharan Africa,Nigeria
Subsaharan Africa,Rwanda
Subsaharan Africa,Senegal
Subsaharan Africa,Sierra Leone
Subsaharan Africa,Somalia
Subsaharan Africa,South Africa
Subsaharan Africa,Sudan
Subsaharan Africa,Swaziland
Subsaharan Africa,Tanzania
Subsaharan Africa,Uganda
Subsaharan Africa,Zambia
Subsaharan Africa,Zimbabwe
The Balkans,Albania
The Balkans,Bosnia and Herzegovina
The Balkans,Bulgaria
The Balkans,Croatia
The Balkans,Greece
The Balkans,Montenegro
The Balkans,North Macedonia
The Balkans,Romania
The Balkans,Serbia
The Balkans,Slovenia
The Mediterranean,Albania
The Mediterranean,Algeria
The Mediterranean,Bosnia and Herzegovina
The Mediterranean,Croatia
The Mediterranean,Egypt
The Mediterranean,France
The Mediterranean,Greece
The Mediterranean,Italy
The Mediterranean,Lebanon
The Mediterranean,Libya
The Mediterranean,Montenegro
The Mediterranean,Morocco
The Mediterranean,Palestine
The Mediterranean,Slovenia
The Mediterranean,Spain
The Mediterranean,Tunisia
The Middle East,Egypt
The Middle East,Iraq
The Middle East,Jordan
The Middle East,Lebanon
The Middle East,Palestine
The Middle East,Sudan
The Middle East,Yemen
The Soviet Union,Armenia
The Soviet Union,Azerbaijan
The Soviet Union,Belarus
The Soviet Union,Estonia
The Soviet Union,Georgia
The Soviet Union,Kazakhstan
The Soviet Union,Kyrgyzstan
The Soviet Union,Latvia
The Soviet Union,Lithuania
The Soviet Union,Moldova
The Soviet Union,Russia
The Soviet Union,Tajikistan
The Soviet Union,Ukraine
The Soviet Union,Uzbekistan
Western Africa,Benin
Western Africa,Côte d’Ivoire
Western Africa,Ghana
Western Africa,Guinea
Western Africa,Liberia
Western Africa,Mali
Western Africa,Niger
Western Africa,Nigeria
Western Africa,Senegal
Western Africa,Sierra Leone
Western Asia,Armenia
Western Asia,Azerbaijan
Western Asia,Georgia
Western Asia,Iraq
Western Asia,Jordan
Western Asia,Lebanon
Western Asia,Palestine
Western Asia,Turkey
Western Asia,Yemen
Western Europe,Austria
Western Europe,Belgium
Western Europe,Denmark
Western Europe,France
Western Europe,Germany
Western Europe,Ireland
Western Europe,Netherlands
Western Europe,Norway
Western Europe,Spain
Western Europe,Sweden
Western Europe,Switzerland
Western Europe,United Kingdom
